P00055040A0000|181 183|FR
P00378735A0000|172 173|g
P00420460A0291|178 179|P
P00425547A0000|122 123|3
P00429949A0000|225 228|IRP
P00474064A0205|153 154|R
P00474064A0205|162 163|5
P00474064A0205|194 195|R
P00474064A0205|203 205|10
P00474064A0205|211 213|-1
P00488534A0308|172 174|MR
P00494659A0391|38 39|3
P00512215A0000|74 75|1
P00512215A0000|130 131|1
P00512215A0000|134 135|2
P00512215A0000|157 158|1
P00512215A0000|161 163|L1
P00512215A0000|165 167|L2
P00512215A0000|173 175|L1
P00512215A0000|178 180|L2
P00513284A0000|288 289|2
P00517890A0468|105 106|A
P00540707A0255|254 257|PMK
P00557559A0170|57 58|N
P00557559A0170|86 87|2
P00564943A0444|78 79|T
P00565314A0293|43 44|g
P00594617A0192|102 105|FDP
P00602622A0362|81 82|p
P00619948A0000|128 130|10
P00619948A0000|341 342|5
P00676416A0320|25 26|2
P00710372A0302|94 96|GH
P00712117A0521|30 31|A
P00712117A0521|88 89|A
P00712117A0521|96 97|1
P00712117A0521|130 131|A
P00712117A0521|132 140|Victoria
P00712117A0521|141 142|3
P00759400T0000|30 31|5
P00767161A0837|128 129|1
P00780639X0000|26 29|CEA
P00836637A0000|97 100|act
P00837262A0000|122 124|ON
P00851041A0000|9 11|up
P00892353A0686|61 64|ran
P00932738A0116|119 121|BP
P00970488A0105|88 90|DA
P00980255T0000|27 28|D
P00984209A0614|153 154|A
P00985276A0000|194 198|term
P00993176A0066|160 163|NH4
P00993176A0066|164 165|2
P00993176A0066|165 168|SO4
P01004298A0744|42 44|CA
P01004298A0744|67 68|3
P01090210A0417|285 286|5
P01122015A0467|90 91|1
P01124944A0830|52 53|g
P01141114A0188|94 96|PH
P01141114A0188|97 98|v
P01141114A0188|111 112|C
P01141114A0188|113 114|v
P01141114A0188|206 207|H
P01156631A0658|161 163|SD
P01156631A0658|178 179|P
P01168908A0000|18 21|PGF
P01172734T0035|20 21|A
P01172734T0035|22 23|W
P01191964A0000|208 209|T
P01217450A0295|26 29|vas
P01217450A0295|77 80|vas
P01228258A0000|149 150|5
P01237206A0199|51 53|th
P01237206A0199|63 65|th
P01241588A1470|28 29|5
P01241588A1470|161 162|5
P01256410T0001|64 68|term
P01282014A0275|22 27|DSP-4
P01295373A0651|82 84|SE
P01295373A0651|113 114|B
P01295373A0651|131 132|C
P01295373A0651|147 148|p
P01300914A1066|372 374|VT
P01300914A1066|672 673|2
P01302765A0999|66 68|R2
P01309587A0715|142 145|myb
P01309860A0559|129 131|L1
P01310154A0879|40 41|C
P01314953A1266|79 83|HAP3
P01314953A1266|100 101|1
P01315706A0000|83 85|L6
P01316125A0176|45 47|O2
P01316125A0176|73 75|O2
P01316125A0176|168 169|1
P01316125A0176|169 171|O2
P01316125A0176|215 217|O2
P01316125A0382|97 99|O2
P01316125A0382|125 127|O2
P01316125A0382|302 303|1
P01316125A0382|303 305|O2
P01316125A0382|344 346|O2
P01316461A1083|77 79|S2
P01316680A0643|151 152|C
P01316680A0643|158 159|C
P01316680A0643|166 167|C
P01316680A0643|168 169|H
P01316680A0643|175 176|C
P01316680A0643|177 178|H
P01321277A0342|21 22|5
P01321277A0342|33 36|src
P01321277A0342|43 44|3
P01321277A0342|67 70|SRC
P01321277A0342|118 121|CEF
P01321277A0664|11 12|R
P01321277A0664|66 67|3
P01321280A0494|79 81|-1
P01321280A0494|195 197|-1
P01321280A0494|198 200|E6
P01321332A0970|81 84|RXR
P01321332A0970|198 200|RA
P01321332A0970|283 288|ARP-1
P01321337A0318|120 123|Ca2
P01321337A0318|169 170|B
P01324385A0329|195 197|IV
P01324385A0329|198 200|C1
P01324406A1250|32 38|ATPase
P01324406A1250|39 51|DNA helicase
P01325386A0766|8 10|-1
P01327758A0000|43 45|-1
P01327758A0000|89 91|E1
P01328854T0000|9 14|MEF-2
P01330077A0000|78 79|B
P01331516A0103|136 138|C2
P01333053A0110|140 144|ACTH
P01333125A0000|136 137|5
P01334428A1102|32 36|src-
P01334428A1102|66 69|Tyr
P01334428A1102|74 75|1
P01334428A1102|107 109|-1
P01334428A1102|112 114|-1
P01334428A1102|144 146|-1
P01334428A1102|149 151|-1
P01340470A0000|32 33|1
P01340470A0000|106 109|Arg
P01340470A0000|110 113|Ser
P01340470A0000|120 122|RS
P01350932A1123|71 72|N
P01350932A1123|99 102|Cys
P01350932A1123|103 106|Ser
P01350932A1123|117 120|Cys
P01352113A0231|172 173|5
P01352113A0231|175 177|10
P01353478T0000|18 20|Eb
P01353478T0000|29 32|IAP
P01353478T0000|63 64|B
P01358190A0654|40 41|H
P01371275T0000|59 60|H
P01371275T0000|64 70|ATPase
P01372802A1481|124 126|C3
P01372802A1481|127 128|D
P01372802A1481|179 181|C3
P01372802A1481|314 316|C3
P01372802A1481|317 318|D
P01372802A1481|371 373|C3
P01372900A0448|117 118|1
P01372900A0448|134 135|A
P01374688A0471|57 58|6
P01375224A0152|49 52|Crk
P01377818A0468|13 23|C/EBP beta
P01377818A0468|28 39|C/EBP gamma
P01377818A0468|95 106|C/EBP alpha
P01380454A0451|102 105|Fos
P01380454A0451|106 109|Jun
P01380454A0451|124 127|Jun
P01380454A0451|128 131|Jun
P01380454A0451|157 161|AP-1
P01380454A0451|248 251|Myb
P01380454A0451|271 274|ATF
P01380454A0451|275 279|CREB
P01383690A1023|8 11|SH2
P01383690A1023|58 61|BCR
P01383690A1023|95 97|10
P01383690A1023|126 129|ABL
P01383690A1023|130 133|SH2
P01384229A0175|205 207|TK
P01384229A0175|269 272|CAT
P01384229A0175|286 287|2
P01386897A0000|114 116|G1
P01386897A0000|145 149|CLN1
P01386897A0000|154 158|CLN2
P01387105A0933|208 209|1
P01387105A0933|221 222|1
P01387105A0933|261 262|5
P01387105A0933|264 265|1
P01388160A1102|185 188|Ser
P01388160A1102|197 200|Ser
P01389573A1071|102 104|P2
P01389573A1071|107 109|A1
P01389573A1071|112 114|A2
P01389585A0825|61 62|2
P01394200A0592|161 165|CD25
P01394200A0592|179 180|2
P01394200A0592|203 204|T
P01394655A0615b|98 101|per
P01394655A0615b|108 109|S
P01394655A0615b|110 111|N
P01396583A0204|64 65|2
P01396592A1113|97 103|GATA-1
P01398073A0986|156 160|TATA
P01398074A0697|96 99|MRP
P01398074A1081|10 13|MRP
P01398074A1081|151 156|RNase
P01398074A1081|157 160|MRP
P01406656A1075|89 90|5
P01406656A1075|105 106|3
P01406656A1075|194 197|ras
P01409643A0618|114 118|TATA
P01409643A0618|241 271|TATA element modulatory factor
P01409643A0618|273 276|TMF
P01418834A0987|50 51|P
P01418834A0987|130 131|3
P01418834A0987|132 133|v
P01418834A0987|176 177|P
P01420363T0000|108 110|-1
P01420363T0000|112 118|TIMP-1
P01426635A0496|77 80|DDC
P01427457A0000|114 115|h
P01427457A0000|149 151|IV
P01429768T0000|52 53|F
P01429836A0457|116 117|p
P01429836A1205|20 21|1
P01429836A1205|21 22|p
P01433524A0788|32 33|C
P01446828A1088|17 21|ADH5
P01446828A1088|100 103|Sp1
P01446828A1088|105 108|AP2
P01446828A1088|110 112|LF
P01446828A1088|113 115|A1
P01446828A1088|119 121|-1
P01446828A1088|126 128|A2
P01446828A1088|134 139|NF-E1
P01447189A1546|29 55|Met-1 is a serine protease
P01452037A0000|80 81|3
P01452037A0000|107 110|PGK
P01452037A0000|120 121|N
P01452037A0000|166 169|TIM
P01457695T0000a|87 89|up
P01457695T0000b|87 89|up
P01464329T0000|9 13|coil
P01469042A0355|56 62|CENP-B
P01470243A0871|130 131|3
P01477021A0394|121 122|P
P01477021A0394|135 136|P
P01486836A0774|161 163|T2
P01499213A0185|173 175|L3
P01502157A0000|4 5|1
P01502157A0000|73 76|MYC
P01502157A0000|77 79|P1
P01502157A0000|84 86|P2
P01502157A0000|135 137|P2
P01506746A0476|71 75|pigs
P01513213A0231|154 157|HIP
P01516829A0113|33 37|SNF5
P01516829A0113|43 47|SNF6
P01518849A0165|178 179|1
P01531214A0885|73 74|g
P01536575A1213|207 213|CYPIA1
P01537334A0507|18 23|TRP-2
P01538401A1244|70 71|5
P01538401A1244|72 73|S
P01538403A1058|138 143|TFIID
P01538403A1058|246 250|TATA
P01539996A0588|177 180|Ser
P01539996A0588|334 335|C
P01542565A0220|81 84|L12
P01542686A0000|141 144|p65
P01545787A0345|109 111|-1
P01545806T0000|89 95|REC107
P01545818A0696|67 70|Src
P01545818A0696|71 74|SH2
P01545818A0696|105 106|v
P01545818A0696|107 110|Src
P01545818A0696|114 115|v
P01545818A0696|116 120|src-
P01545818A0696|187 188|v
P01545818A0696|189 192|Src
P01545818A0696|193 196|SH2
P01548756A1102|87 89|-1
P01549125A0140|66 68|GK
P01555556A0565|60 63|max
P01555556A0565|76 78|SD
P01555556A0565|88 90|-1
P01563343A0548|64 67|CAB
P01569102A0708|110 111|6
P01569584A0672|34 38|F6.2
P01569584A0672|84 85|6
P01569584A0672|85 87|F6
P01569584A0672|108 109|6
P01569584A0672|109 111|F6
P01569584A0672|118 119|6
P01569584A0672|119 121|F6
P01569584A0672|133 134|6
P01569584A0672|134 138|F6.2
P01577056A0178|89 91|-1
P01577056A0178|92 95|per
P01577056A0178|122 125|per
P01581577A1186|10 15|PSI-K
P01581965A0388|160 163|rho
P01581965A0388|164 167|GAP
P01581965A0388|219 222|GAP
P01582413A0759|67 70|E12
P01587763A0402|105 108|per
P01587763A0402|113 114|5
P01588270A1029|135 136|P
P01588270A1029|156 159|DBP
P01592545A0726|121 123|10
P01597170A0000|86 87|3
P01597170A0000|99 100|3
P01597170A0000|147 148|2
P01597170A0000|219 220|5
P01597170A0000|236 237|6
P01601869A1389|24 25|5
P01615049A0000|76 77|h
P01615049A0000|84 86|12
P01615049A0000|87 88|h
P01620129A0417|69 72|key
P01620129A0417|106 108|H4
P01620781A0611|111 113|B2
P01620781A0611|117 119|A3
P01633435A0743|149 151|al
P01636714A0845|161 162|h
P01636714A0845|169 172|CLP
P01646487A0874|102 103|T
P01646487A0874|108 109|B
P01649173A0160|185 186|2
P01649318A0734|49 51|TK
P01649318A0734|109 111|TK
P01649835A0822|35 38|IBP
P01649835A0822|129 131|PK
P01649835A0822|186 187|5
P01650524A0837|136 140|5-LO
P01650524A0837|176 177|2
P01652755A1492|179 183|IL-6
P01652755A1492|201 204|fos
P01652755A1492|285 289|IL-6
P01653173A0619|114 118|TATA
P01653173A0619|177 181|P105
P01655713A0294|109 110|1
P01655713A0294|114 115|1
P01656221A1319|165 169|FGFR
P01657594A0472|92 96|cgs2
P01658375A0854|39 40|3
P01658375A0854|189 190|5
P01658375A0854|203 206|LAT
P01658375A0854|217 219|GC
P01658375A0854|254 256|GT
P01658468A0123|6 7|5
P01660925T0000|144 145|3
P01671675A0905|89 92|CAD
P01674817A0862|40 45|RNA15
P01674817A0862|57 62|RNA14
P01675763A1389|69 71|10
P01675763A1389|75 78|per
P01678392A0648|28 30|SD
P01678392A0648|125 128|l-1
P01694009A0112|82 83|N
P01709486A0000|76 79|kit
P01710979T0000|31 34|src
P01710979T0000|108 112|p110
P01713213A0000|161 166|Pim-1
P01713213A0488|23 25|-1
P01713213A0488|87 92|Pim-1
P01713213A0488|173 176|GST
P01716292A0000|28 31|key
P01716292A0000|47 50|DR1
P01716292A0000|64 65|T
P01716292A0000|188 189|H
P01716292A0000|191 193|Eb
P01716292A0000|232 233|H
P01723619A0766|59 60|F
P01723619A0766|138 139|F
P01723619A0766|194 195|F
P01723962A0165|67 68|h
P01723962A0165|78 80|up
P01723962A0165|99 101|12
P01723962A0165|102 103|h
P01727488A1146|73 76|tat
P01730412T0000|45 50|c-Myc
P01730747A0205|24 25|S
P01732752A0156|72 73|B
P01735447A0833|107 110|PrB
P01735447A0833|131 134|PrB
P01738936A0292|47 48|3
P01740121A0136|52 53|p
P01744042A1355|111 112|5
P01748630A0125|193 196|Myc
P01752441A0000|40 43|Tat
P01752441A0000|178 179|5
P01756195A1117|119 120|r
P01762917A0615|100 106|TFIIIA
P01765269A0308|90 91|3
P01765386A0305|76 77|5
P01765386A0305|148 149|3
P01765407A0866|19 21|10
P01765407A0866|88 89|2
P01765407A0866|90 91|h
P01767592A0682|102 106|HAP2
P01767592A0682|107 111|HAP3
P01783088A1136|144 147|l-1
P01783088A1136|204 207|l-1
P01783088A1136|299 301|AT
P01787085A0331|45 46|5
P01804671A1001|37 39|QC
P01804671A1001|261 263|-1
P01804671A1001|268 270|-1
P01822995T0000|77 81|rbcS
P01830114A1587|63 65|P4
P01840513A1019|33 37|SL-2
P01840513A1019|81 82|5
P01840607A0294|126 129|PFP
P01840608A0823|55 56|3
P01847464A0856|39 42|CAT
P01847464A0856|65 67|-1
P01847464A0856|126 129|ori
P01847464A0856|130 131|P
P01847464A0856|178 180|-1
P01847464A0856|239 244|c-myc
P01850105A1093|60 65|c-myc
P01851862A0273|60 62|-1
P01864510A0946|3 6|PK1
P01864510A0946|27 28|6
P01864510A0946|29 30|h
P01867069A0000|82 83|6
P01869565A1254|86 89|ADH
P01869565A1254|117 120|MLP
P01871971A0836|97 100|ATF
P01874752A0948|71 75|cdc2
P01881595A0476|92 93|5
P01881595A0476|200 201|6
P01883992A0922|38 41|act
P01886043A0380|23 24|1
P01888896A0505|25 26|5
P01889753A0441|79 80|3
P01899209A0883|57 58|H
P01899846A0862|20 24|rbcS
P01901443A0297|141 142|C
P01901946A0243|73 76|fos
P01906166A0119|122 124|IV
P01907941A0275|46 47|B
P01907941A0275|85 88|Rel
P01907941A0275|102 103|B
P01909960A0134|40 42|10
P01909960A0134|77 79|NA
P01909960A0134|186 188|NA
P01918010A0000|20 23|LPL
P01918010A0000|28 31|key
P01918010A1730|189 190|3
P01918010A1730|193 195|L1
P01918073A0150|106 107|1
P01918073A0150|133 134|N
P01918073A0150|194 195|A
P01918073A0150|303 306|TnI
P01918073A0150|366 367|2
P01918073A0150|395 396|N
P01918073A0150|415 416|C
P01918073A0150|484 487|TnI
P01918073A0150|501 502|3
P01918073A0150|705 706|C
P01918073A0150|758 761|TnI
P01930660T0000|0 26|Insulin-like growth factor
P01930660T0000|27 28|1
P01930660T0000|30 33|IGF
P01930660T0000|33 35|-1
P01936997A0795|59 66|TRP-185
P01939827A0150|167 168|2
P01939827A0150|170 171|2
P01939827A0150|292 293|2
P01947449A0191|82 84|O2
P01947449A0191|147 149|O2
P01947449A0191|167 169|O2
P01947449A0191|182 185|per
P01947449A1082|71 73|O2
P01947449A1082|138 140|O2
P01954355A0997|53 56|TNF
P01963419A0501|182 183|p
P01964989A0145|214 215|2
P01974550A0362|60 61|2
P01974550A0362|130 131|2
P01978834A0076|109 110|H
P01978834A0076|113 119|ATPase
P01983026A0483|102 104|CA
P01985920A0156|180 184|SCP2
P01985924A0554|219 222|pol
P01989999A0000|29 32|IMP
P01989999A0000|59 61|EC
P01989999A0000|161 164|IMP
P01989999A0000|168 171|AMP
P01990254A0791|57 58|T
P01990254A0791|88 89|B
P01996312A0454|109 111|Dd
P02002511A0637|27 29|PK
P02015921A0523|45 46|1
P02015921A0523|82 83|1
P02020314A1290|10 11|3
P02020314A1290|16 17|6
P02020314A1290|36 42|GM-CSF
P02024816A0521|52 56|SP-A
P02025515A0979|24 25|2
P02026147A0000|31 34|CaM
P02026147A0000|62 65|CaM
P02026147A0000|159 162|CaM
P02033038A0309|127 129|E3
P02033062A1169|88 93|IGF-I
P02033062A1169|94 95|5
P02052544A0641|72 76|dpb2
P02052544A0641|76 78|-1
P02052544A0641|118 132|DNA polymerase
P02052544A0641|153 157|DPB2
P02052592A0000|292 294|-1
P02052592A0000|329 338|TNF-alpha
P02052592A0000|370 371|A
P02052592A0000|443 449|GM-CSF
P02062116A0688|70 73|max
P02076816T0000|93 97|IME1
P02083199A1175|120 124|EGFR
P02083230A0938|174 175|C
P02083253A1512|4 9|TCF-1
P02083253A1512|164 169|TCF-1
P02083546A0000|190 191|5
P02107073A0584|45 50|STE18
P02107073A0584|130 134|STE4
P02107073A0584|174 179|STE18
P02111015A0574|134 137|IFN
P02111015A0574|156 161|IRF-1
P02111015A0574|166 171|IRF-2
P02113699A0372|44 45|1
P02113699A0372|50 51|N
P02113699A0372|100 101|2
P02113699A0372|104 105|N
P02113699A0372|112 113|2
P02113699A0372|118 119|N
P02113699A0372|175 176|2
P02113699A0372|179 180|N
P02113699A0372|187 188|3
P02113699A0372|190 192|12
P02113699A0372|193 194|N
P02113699A0372|250 251|2
P02113699A0372|254 255|N
P02116071A0000|14 16|up
P02120833A0000|111 112|1
P02120833A0000|118 121|per
P02121371T0000|66 69|GAP
P02123029A0478|132 134|VH
P02123029A0478|140 143|CH1
P02131652A0883|172 175|l-1
P02131652A0883|223 226|Cas
P02137704A0000|200 201|h
P02138915A1060|84 85|1
P02138915A1060|145 147|AT
P02142955A0248|21 22|2
P02142955A0248|180 181|1
P02144610A1306|71 72|T
P02144610A1306|107 108|T
P02144610A1306|114 115|2
P02144610A1306|134 137|set
P02144610A1306|148 151|AMP
P02144610A1306|213 214|T
P02144610A1306|221 222|1
P02146266A0000|126 131|sod-1
P02147223A1047|95 97|E1
P02149566A0478|18 21|NMR
P02149566A0478|22 23|S
P02149566A0478|112 116|rest
P02149566A0478|180 181|P
P02151229A0921|11 12|B
P02151229A0921|129 130|p
P02154467A0709|62 65|NH2
P02154467A0709|97 102|furin
P02154474A1504|128 129|P
P02154599T0000|133 137|AP-1
P02162754A0339|68 70|L1
P02164588A0266|187 189|HN
P02165589A0888|183 186|fos
P02166040A0385|133 134|P
P02176152A0896|107 110|AP1
P02176822A0000|98 100|BT
P02176822A0000|105 107|BS
P02176822A0000|158 159|2
P02176822A0000|214 215|2
P02176822A0000|220 221|3
P02179815A0582|7 10|p59
P02179815A0582|10 11|v
P02179815A0582|47 50|CEF
P02179815A0582|92 95|p68
P02179815A0582|124 127|CEF
P02179815A0582|212 215|p68
P02179815A0582|321 324|p59
P02179815A0582|324 325|v
P02180935A0535|101 103|HL
P02183467A0668|236 237|W
P02188168A0000|42 43|M
P02188168A0000|123 125|-1
P02188168A0000|301 302|2
P02196311A1034|34 35|3
P02196311A1034|36 37|W
P02196311A1034|102 105|RNL
P02196450A0870|198 201|QBP
P02196450A0870|239 243|TATA
P02196565A0606|85 89|RAP1
P02196565A0606|120 123|TUF
P02196565A0606|159 162|MAT
P02196565A0606|201 205|PYK1
P02196565A0606|246 250|RAP1
P02196565A0606|251 254|TUF
P02204029A0184|92 93|N
P02204029A0184|94 97|ras
P02204029A0184|107 112|its 3
P02204029A0184|178 179|N
P02204029A0184|180 183|ras
P02204621T0000|121 148|tRNA nucleotidyltransferase
P02204623A0000|113 116|Tyr
P02206858A0000|22 24|PC
P02206858A0000|135 137|12
P02206858A0000|142 143|1
P02206858A0000|144 145|3
P02206858A0000|146 148|12
P02218094A0395|62 64|O2
P02229068A0156|50 53|tat
P02229068A0156|65 68|env
P02229068A0156|105 110|COS-1
P02229068A0156|130 132|SU
P02229068A0156|133 135|TM
P02229068A0156|145 147|SU
P02229068A0156|148 150|TM
P02233680A1115|103 104|A
P02237431A0000|75 76|T
P02237431A0000|151 152|3
P02237431A0000|161 162|C
P02248732A1113|182 184|NA
P02251119A0319|115 116|6
P02253663A0687|112 113|h
P02264601A0000|126 128|NP
P02265055A0417|110 112|-1
P02265055A0417|128 131|CSF
P02265055A0417|177 179|-1
P02277452A0116|174 178|pain
P02278217A0372|59 61|so
P02281330A0556|134 135|1
P02281330A0556|135 137|st
P02284573A0943|31 34|BAL
P02284573A0943|115 118|BAL
P02284573A0943|120 123|TBB
P02293019A0000|21 24|ALP
P02298741A0809|122 125|PKC
P02298741A0809|261 264|PKC
P02300759A0000|140 142|T2
P02307850A0000|101 102|1
P02307850A0000|104 110|RNKP-1
P02307850A1197|42 47|Con A
P02308496A0000|75 78|STH
P02308496A0000|108 109|C
P02308496A0000|197 199|10
P02318208A0817|188 191|MLP
P02320008A0651|74 75|1
P02322535A0658|58 59|2
P02322535A0658|64 65|3
P02323517A0557|129 131|ex
P02324104A0929|16 17|C
P02324104A0929|157 158|C
P02330333A0325|26 28|Tl
P02330333A0325|41 42|6
P02332018A0538|186 187|P
P02335713A0905|53 57|ALAD
P02335815A0530|85 86|C
P02339447A0162|90 92|H2
P02339447A0162|93 94|A
P02339447A0162|106 108|H2
P02339447A0162|118 120|E1
P02339447A0162|182 183|A
P02339447A0162|189 191|E1
P02348225A0192|55 56|v
P02348225A0192|79 80|2
P02348225A0192|106 107|v
P02348225A0192|169 170|v
P02348225A0192|187 188|2
P02349827A0193|42 43|2
P02351239A0693|194 197|ECL
P02351239A0693|281 285|term
P02354381A0207|34 35|C
P02354381A0207|88 89|S
P02354381A0207|153 154|H
P02354381A0207|182 183|H
P02354381A0207|184 185|S
P02354381A0207|254 255|N
P02372496A0782|186 187|5
P02372712A0002|101 105|PCO2
P02373810A1118|102 103|p
P02376023A0307|98 99|P
P02393895A0918|123 124|p
P02403926A0000|9 10|h
P02403926A0000|76 78|MB
P02403926A0000|121 122|3
P02403926A0000|146 149|trk
P02403926A0000|199 200|N
P02403926A0307|58 61|trk
P02403926A0307|191 194|trk
P02403926A0307|196 197|h
P02403926A0307|215 216|3
P02404451A1532|122 125|Cys
P02404451A1532|186 189|Cys
P02404451A1532|273 279|GM-CSF
P02419327A0998|204 205|5
P02424743A0280|11 13|P2
P02437895A0000|196 198|LH
P02446871A1021|44 45|5
P02446871A1021|162 163|3
P02454976A0944|237 239|up
P02466414A0000|104 106|Ea
P02473718A0000|132 133|T
P02473718A0000|149 150|T
P02473718A0000|167 168|T
P02473718A0000|192 193|B
P02473718A0000|239 241|10
P02473718A0000|252 253|1
P02473718A0000|281 282|5
P02473718A0000|337 338|3
P02477373A0930|12 16|TATA
P02479823A0727|61 63|GC
P02479823A0727|90 94|TATA
P02480959A0470|54 56|LH
P02481779A0213|160 161|h
P02481779A0213|217 218|1
P02481779A0213|250 251|1
P02481779A0213|340 342|SD
P02481779A0213|360 361|6
P02482293A1518|3 7|TNF-
P02482293A1518|46 49|TNF
P02482293A1518|66 69|EGF
P02482293A1518|70 71|R
P02482293A1518|119 122|EGF
P02485188A0415|158 159|p
P02485188A0415|198 199|p
P02485188A0415|325 326|p
P02487898A0315|95 98|NGF
P02489753A0581|65 67|FB
P02489753A0581|140 142|CG
P02489753A0581|147 149|GF
P02493644A0588|26 27|D
P02493644A0588|85 86|B
P02498652A0460|109 112|GH3
P02500432A1416|113 114|3
P02500432A1416|203 206|CAT
P02507523A0791|52 56|ORF2
P02507523A0791|87 91|ORF1
P02509123A0371|46 50|P100
P02528730A1073|23 24|2
P02528730A1073|41 42|5
P02530413A0195|50 52|12
P02542612A0530|124 127|CAT
P02548683T0001|67 68|A
P02565807A1198|132 133|3
P02565807A1198|162 164|AT
P02568930T0000|133 134|T
P02571924A0000|128 129|A
P02571924A0000|168 169|S
P02573836A0244|103 106|mdr
P02573836A0244|106 107|1
P02580830A1131|25 26|5
P02580830A1131|60 63|cap
P02580830A1131|82 85|AFP
P02580830A1131|157 160|AFP
P02582240A1009|133 134|3
P02585492A1005|89 91|P1
P02585492A1005|122 124|P1
P02585492A1005|157 159|P7
P02586513A0622|110 114|RNAP
P02586513A0622|297 300|Tyr
P02586513A0622|301 304|Ser
P02586513A0622|313 316|Ser
P02586513A0622|321 324|Ser
P02590540A0741|97 98|5
P02592640A0466|229 230|g
P02595451A1136|86 90|TCL2
P02595451A1136|137 141|MIC1
P02601707A0986|37 44|DNase I
P02601707A0986|146 148|C2
P02601707A0986|200 201|A
P02601707A0986|204 205|T
P02603923A0220|70 74|pigs
P02603923A0220|117 118|2
P02603923A0220|164 165|2
P02605679A0306|206 207|2
P02617623A0740|42 43|2
P02617623A0740|57 58|2
P02617623A0740|99 100|3
P02631743A0275|91 92|R
P02631743A0275|93 94|R
P02669199A0000|23 26|TNF
P02669199A0000|105 108|LPS
P02674674A1308|76 80|OBF1
P02674674A1308|114 117|ARS
P02685565A0165|139 142|myb
P02686985A0811|65 69|PCF1
P02689439A0000|48 50|EC
P02691998A0672|152 156|ET-1
P02702566A0000|31 32|5
P02703925A0359|642 643|S
P02704579A1078|126 129|AO2
P02704579A1078|138 139|P
P02705556A1049|28 30|RC
P02705556A1049|31 33|O2
P02712450A0989|114 115|1
P02712450A0989|174 175|2
P02731671A0000|112 114|S2
P02731671A0000|136 137|N
P02731671A0000|152 153|1
P02731671A0000|189 190|6
P02731671A0000|199 200|5
P02735364A1330|70 71|p
P02735364A1330|113 114|p
P02735364A1330|159 160|p
P02744490A0894|141 146|PTHrP
P02748188A0091|70 71|3
P02748188A0091|114 118|pain
P02748188A0091|136 138|PS
P02748188A0091|219 220|P
P02748595A0492|91 94|ADH
P02752651A0480|165 167|10
P02758382A0478|197 201|SHBG
P02760922A0000|107 108|S
P02761537A0168|90 91|5
P02761537A0168|235 236|3
P02764797A0182|26 29|NMR
P02773507A0750|92 94|CL
P02778873A0761|125 127|A2
P02779752A0776|55 56|1
P02779752A0776|133 136|act
P02779752A0776|150 151|5
P02779752A0776|152 155|HT1
P02779752A0776|240 241|1
P02779752A0776|242 244|NP
P02780157A0576|187 189|MP
P02780157A0576|278 280|MP
P02781567A0544|18 19|1
P02781567A0544|20 21|1
P02781567A0544|23 24|v
P02781567A0544|25 26|v
P02784507A0000|44 46|-1
P02784507A0000|71 74|CD4
P02784507A0000|76 77|T
P02789062A0000|197 198|T
P02789062A1420|24 26|FB
P02789062A1420|170 172|FB
P02792430A0000|43 47|pigs
P02792430A0000|244 248|pigs
P02793753A0354|40 42|up
P02793753A0354|46 48|10
P02793753A0354|96 98|PA
P02800435A0000|104 105|T
P02802280A0495|61 64|PTS
P02806916A0000|168 169|3
P02806916A0000|169 171|AI
P02806916A0000|234 236|oc
P02814820A0967|147 148|2
P02814820A0967|209 210|p
P02817724A0075|36 38|T2
P02820128A1670|264 266|T2
P02830214A0000|47 49|Cl
P02832149A1009|114 117|myb
P02832149A1009|199 202|myb
P02832149A1009|278 281|myb
P02833049A1041|169 171|up
P02839716A1907|186 188|AT
P02843495A0544|29 34|CSF-1
P02845654A0510|213 215|-1
P02845654A0510|217 219|P1
P02868446A0184|60 71|DNA primase
P02883871A1075|12 15|ISA
P02883871A1075|165 168|ISA
P02885517T0000|36 37|B
P02889495A0000|114 115|5
P02902615A0000|38 41|HBV
P02902615A0000|130 131|B
P02902656A0481|126 128|TE
P02902656A0481|190 192|TR
P02902656A0481|193 195|TE
P02910496A0583|20 21|5
P02910496A0583|23 26|CGA
P02910496A0583|178 181|MRP
P02919832A0144|46 47|2
P02920591A0251|100 102|IV
P02920591A0251|116 117|5
P02920591A0251|121 123|12
P02920591A0251|142 144|IV
P02926499A0340|148 151|CBF
P02926499A0340|162 165|rho
P02926499A0340|210 213|rho
P02927391A0238|75 76|J
P02927391A0238|239 242|set
P02934889A0558|119 122|per
P02934889A0558|172 175|per
P02934889A0558|194 195|D
P02938185A0223|48 50|E1
P02938185A0223|56 58|E1
P02938185A0223|161 162|C
P02938185A0223|181 182|C
P02940334A0141|58 59|B
P02958204A0175|93 95|PL
P02958204A0175|109 111|A1
P02958204A0175|117 118|A
P02958204A0175|118 120|-1
P02958204A0175|131 132|C
P02958204A0175|152 153|C
P02958204A0175|163 164|C
P02969316A0002|146 149|ANP
P02969316A0002|226 227|h
P02971603A0883|64 65|v
P02971603A0883|85 87|up
P02971603A0883|93 94|v
P02975680A0000|262 265|GAD
P02975680A0000|316 319|MDD
P02994336A0864|63 67|ACTH
P02994336A0864|112 114|CB
P02998016A0527|64 65|1
P02998016A0527|86 87|3
P02998016A0527|121 123|12
P02998016A0527|237 238|v
P02998043A1199|181 183|G2
P02999267A0885|198 200|GS
P02999267A0885|285 287|GS
P03000457A1554|47 48|2
P03000457A1554|51 52|2
