P00027739T0000|6 31|gamma glutamyltransferase
P08590465A0773|119 136|URA2 gene product
P08590465A0773|119 123|URA2
P08593813A0967|47 69|germ cell-specific Sp1
P08593813A0967|66 75|Sp1 mRNAs
P08593813A0967|66 69|Sp1
P08595878A0201|100 130|receptor tyrosine kinase (RTK)
P08597596A0135|20 57|ATP-binding cassette, ABC transporter
P08598449A0784|153 156|src
P08598449A0784|153 161|src-like
P08598449A0784|153 169|src-like protein
P08599945T0000|81 99|RNA polymerase III
P08599946A0999|46 49|p40
P08599946A0999|100 104|L1Hs
P08600028A1129|48 59|prothymosin
P08600028A1129|48 66|prothymosin intron
P08600028A1129|139 142|Myc
P08601283A0875|89 103|selenoproteins
P08601284A0000|157 159|U3
P08601616A0726|23 27|pds1
P08602169A0484|49 65|endonuclease III
P08602169A0484|136 145|HML alpha
P08603921A1346|0 24|Carboxy-terminal Spc110p
P08603921A1346|49 72|calmodulin binding site
P08604338A0198|5 14|EWS-FLI-1
P08604338A0198|9 14|FLI-1
P08604338A0198|94 107|ets sequences
P08604338A0198|94 123|ets sequences (the ets boxes)
P08604338A0198|113 122|ets boxes
P08604338A0885|33 42|EWS-FLI-1
P08605302A1770|165 169|CatA
P08605302A1770|165 169|CatA
P08605931A0777|140 143|U1A
P08608222T0000|48 94|granulocyte colony-stimulating factor receptor
P08608222T0000|125 130|STAT1
P08608447A0806|58 61|TPI
P08608448A0353|164 168|4.5S
P08612852A0553|22 27|IGF-I
P08614403A0557|31 45|Rev-erbA alpha
P08614403A0557|31 50|Rev-erbA alpha mRNA
P08614403A0557|35 50|erbA alpha mRNA
P08614403A0989|29 57|GAL4-REV-erbA alpha chimeras
P08614403A0989|29 48|GAL4-REV-erbA alpha
P08614403A0989|29 33|GAL4
P08615012A0627|24 27|ie1
P08615025A1214|351 364|membrane gp41
P08615025A1214|405 408|CD4
P08615025A1214|405 408|CD4
P08617216A0584|23 27|DnaJ
P08617216A0584|102 120|firefly luciferase
P08617216A0584|110 120|luciferase
P08617238A0334|36 39|p38
P08617238A0334|36 39|p38
P08617238A0334|226 255|heat shock protein 27 (hsp27)
P08617311A0979|75 79|mIgY
P08617311A0979|84 98|mammalian mIgG
P08617311A0979|94 98|mIgG
P08617311A0979|103 106|IgE
P08617311A0979|156 160|mIgY
P08617800A0150|32 38|erbB-2
P08617802A0993|48 66|SH2/SH3/SH2 region
P08617802A0993|48 59|SH2/SH3/SH2
P08617802A0993|56 66|SH2 region
P08617802A0993|70 78|p120 GAP
P08618433A0000|38 42|FLT3
P08618433A0000|38 49|FLT3 ligand
P08618433A0000|38 54|FLT3 ligand (FL)
P08618433A0000|38 42|FLT3
P08618433A0000|91 119|tyrosine kinase receptor (R)
P08618882A0343|12 21|RAR alpha
P08619866A0000|12 48|serum hepatocyte growth factor (HGF)
P08619866A0000|18 42|hepatocyte growth factor
P08619866A0000|18 48|hepatocyte growth factor (HGF)
P08620856A1172|126 145|mouse c-kit protein
P08620856A1172|126 137|mouse c-kit
P08620856A1172|132 137|c-kit
P08620856A1172|228 252|spermatid-specific c-kit
P08620856A1172|247 252|c-kit
P08620856A1172|247 257|c-kit cDNA
P08620889A0771|47 57|aldolase C
P08621017A1186|28 31|uPA
P08621017A1186|124 194|uPA PEA3/12-0-tetradecanoylphorbol 13-acetate responsive element (TRE)
P08621017A1186|124 188|uPA PEA3/12-0-tetradecanoylphorbol 13-acetate responsive element
P08621017A1186|124 132|uPA PEA3
P08621017A1186|128 188|PEA3/12-0-tetradecanoylphorbol 13-acetate responsive element
P08621017A1186|128 194|PEA3/12-0-tetradecanoylphorbol 13-acetate responsive element (TRE)
P08621384A0935|47 86|epidermal growth factor receptor (EGFR)
P08621420A1166|96 105|NF-kappaB
P08621453A0815|13 33|anti-phosphotyrosine
P08621542A0535|27 93|c-Jun NH2-terminal kinases (JNKs)/stress-activated protein kinases
P08621542A0535|27 60|c-Jun NH2-terminal kinases (JNKs)
P08621542A0535|54 93|(JNKs)/stress-activated protein kinases
P08621659A0189|58 86|epidermal growth factor-like
P08621659A0189|58 81|epidermal growth factor
P08621661A1035|5 10|P5CDh
P08621664A1430|18 33|neurofilament L
P08621664A1430|18 33|neurofilament L
P08621719A0000|41 61|c-cbl proto-oncogene
P08621719A0000|41 46|c-cbl
P08621719A0568|107 115|Grb2 SH3
P08621719A0568|107 123|Grb2 SH3 domains
P08621719A0568|112 123|SH3 domains
P08621730T0000|3 7|AP-1
P08621730T0000|60 93|human alpha2(I) collagen (COL1A2)
P08621730T0000|66 84|alpha2(I) collagen
P08621730T0000|66 93|alpha2(I) collagen (COL1A2)
P08621730T0000|66 102|alpha2(I) collagen (COL1A2) promoter
P08621730T0000|85 102|(COL1A2) promoter
P08622030A0667|145 178|serum lactate dehydrogenase (LDH)
P08622030A0667|151 178|lactate dehydrogenase (LDH)
P08622030A0667|151 172|lactate dehydrogenase
P08622668A1155|133 141|C1 hnRNP
P08622668A1155|133 135|C1
P08622675A0587|131 136|Lef-1
P08622698T0000|20 26|Notch1
P08622698T0000|37 47|CBF1/RBPJk
P08622698T0000|117 122|EBNA2
P08622887A1026|61 84|glucocorticoid receptor
P08622887A1026|61 109|glucocorticoid receptor DNA binding domain (DBD)
P08622887A1026|133 145|GRE-2 and -3
P08622893A0000|10 48|subfamily of receptor tyrosine kinases
P08622893A0000|10 55|subfamily of receptor tyrosine kinases (RTKs)
P08622893A0000|23 55|receptor tyrosine kinases (RTKs)
P08624445A0257|99 124|transposase binding sites
P08624445A0257|152 161|wx-m9::Ac
P08624445A0257|152 168|wx-m9::Ac allele
P08624445A0257|159 161|Ac
P08624445A0257|218 222|Waxy
P08625900T0000|61 70|prolactin
P08625924A0411|37 46|aromatase
P08625987A1086|47 52|VpreB
P08626065A0000|104 108|citB
P08626313A1037|55 58|msp
P08626325A0543|110 119|UmuD-UmuD
P08626325A0543|124 135|UmuD'-UmuD'
P08626325A0543|156 166|UmuD-UmuD'
P08626437A0332|0 3|Lyn
P08626437A0332|74 111|full-length glutathione S-transferase
P08626437A0332|74 117|full-length glutathione S-transferase (GST)
P08626437A0332|74 121|full-length glutathione S-transferase (GST)-Lyn
P08626437A0332|74 136|full-length glutathione S-transferase (GST)-Lyn fusion protein
P08626437A0332|74 128|full-length glutathione S-transferase (GST)-Lyn fusion
P08626437A0332|86 136|glutathione S-transferase (GST)-Lyn fusion protein
P08626437A0332|86 128|glutathione S-transferase (GST)-Lyn fusion
P08626437A0332|86 121|glutathione S-transferase (GST)-Lyn
P08626437A0332|86 117|glutathione S-transferase (GST)
P08626437A0332|118 136|Lyn fusion protein
P08626437A0332|164 177|human p34cdc2
P08626437A0332|170 177|p34cdc2
P08626493A1468|45 48|E1A
P08626493A1468|45 48|E1A
P08626493A1468|88 121|retinoblastoma gene product (pRb)
P08626493A1468|181 186|PEPCK
P08626493A1468|232 235|E1A
P08626529A0799|285 291|granin
P08626529A0799|285 317|granin family of acidic proteins
P08626539T0000|42 48|ApoA-I
P08626596A0000|31 76|mammalian AMP-activated protein kinase (AMPK)
P08626596A0000|41 76|AMP-activated protein kinase (AMPK)
P08626667A1517|171 174|GPT
P08626698A0989|115 124|anti-ERK3
P08626777A0537|26 39|100-bp Col2a1
P08626777A0537|26 48|100-bp Col2a1 enhancer
P08626777A0537|33 39|Col2a1
P08626777A0537|144 148|link
P08626777A0537|144 156|link protein
P08626785A0674|37 60|tissue transglutaminase
P08626785A0674|179 208|mouse tissue transglutaminase
P08626785A0674|185 218|tissue transglutaminase promoters
P08626785A0674|185 208|tissue transglutaminase
P08626785A0674|397 410|DR7/DR5 motif
P08626785A0674|397 404|DR7/DR5
P08626785A0674|401 410|DR5 motif
P08626785A0674|426 433|RAR*RXR
P08626785A0674|430 433|RXR
P08626809A0729|74 94|synthetic eIF-2alpha
P08626809A0729|84 102|eIF-2alpha peptide
P08626809A0729|84 94|eIF-2alpha
P08626809A0729|132 149|eIF-2alpha kinase
P08626809A0729|132 142|eIF-2alpha
P08627354A0000|11 20|synapsins
P08627649A0734|119 122|Ets
P08627649A0734|119 129|Ets family
P08627649A0734|162 164|P4
P08627649A0734|219 222|Sp1
P08627649A0734|219 222|Sp1
P08627667A0132|10 28|cellular AP-1 bZip
P08627667A0132|19 28|AP-1 bZip
P08627667A0132|19 23|AP-1
P08627719A0784|119 173|64-kDa component of cleavage stimulation factor (CstF)
P08627719A0784|139 166|cleavage stimulation factor
P08627719A0784|139 173|cleavage stimulation factor (CstF)
P08628254A0665|24 31|Jun/eb1
P08628254A0665|24 40|Jun/eb1 chimeras
P08628254A0665|71 74|AP1
P08628255A0932|148 151|E2F
P08628255A0932|172 177|H2A.1
P08628260A0895|92 112|factor VIII promoter
P08628260A0895|92 103|factor VIII
P08628284A0181|54 58|lacZ
P08628284A0181|89 93|CYC1
P08628681A0821|94 97|pol
P08628681A0821|120 136|DNA polymerase I
P08630548A0000|100 120|interleukin-1 [IL-1]
P08630548A0000|122 161|tumor necrosis factor-alpha [TNF-alpha]
P08630599A0534|17 24|elastin
P08631667A0851|37 48|E. coli tmk
P08631667A0851|45 48|tmk
P08631667A0851|45 53|tmk gene
P08631667A0851|109 120|dTMP kinase
P08631685A0000|24 84|copper- and topa quinone-containing monoamine oxidase (maoA)
P08631685A0000|24 77|copper- and topa quinone-containing monoamine oxidase
P08631685A0000|36 84|topa quinone-containing monoamine oxidase (maoA)
P08631685A0000|36 77|topa quinone-containing monoamine oxidase
P08631685A0000|64 77|amine oxidase
P08631760A0609|36 39|SH2
P08631760A0609|112 119|Crk-SH2
P08631760A0609|112 133|Crk-SH2 binding motif
P08631760A0609|116 133|SH2 binding motif
P08631817T0000|30 53|cyclin-dependent kinase
P08631817T0000|111 156|deoxyuridine triphosphate nucleotidohydrolase
P08631820A0755|30 34|FPS1
P08631822A0677|13 30|plasmin fragments
P08631908A0224|0 7|VDR/RXR
P08631934A0000|19 29|Myb family
P08631934A0000|19 22|Myb
P08631934A0000|119 141|Myb-binding site (MBS)
P08631934A0000|119 150|Myb-binding site (MBS) sequence
P08631934A0000|119 176|Myb-binding site (MBS) sequence (YG(A/G)C(A/C/G)GTT(G/A))
P08631934A0000|136 150|(MBS) sequence
P08631934A0000|136 176|(MBS) sequence (YG(A/G)C(A/C/G)GTT(G/A))
P08631944A0663|86 106|M2 exon (IgE grande)
P08631958T0000|6 49|cytomegalovirus immediate-early protein IE2
P08631958T0000|22 49|immediate-early protein IE2
P08631958T0000|38 49|protein IE2
P08631958T0000|46 49|IE2
P08632009A1067|29 41|C/EBP family
P08632009A1067|29 34|C/EBP
P08632015A0879|59 88|DNA polymerase alpha promoter
P08632015A1226|57 61|DREF
P08632015A1226|57 61|DREF
P08632018A0587|85 91|UGT1A1
P08632463A1508|43 48|beta'
P08632779A0351|4 7|XPG
P08633855A1064|4 8|lacS
P08633855A1064|4 8|lacS
P08634420A1784|0 7|HuEpo-R
P08634423A0498|63 67|lacZ
P08636031A1413|19 22|Fur
P08636031A1413|73 77|pvdS
P08636031A1413|119 122|Fur
P08636031A1413|119 122|Fur
P08636124A0410|69 111|TPR-containing, SH2-binding phosphoprotein
P08636124A0410|85 88|SH2
P08637006A0000|30 47|E2-early promoter
P08637006A0000|134 137|TBP
P08637006A0000|148 151|E2F
P08637006A0000|224 227|ATF
P08637711A1121|32 53|IL-6/interferon gamma
P08637711A1121|32 65|IL-6/interferon gamma (IFN gamma)
P08637711A1121|32 82|IL-6/interferon gamma (IFN gamma) response element
P08637711A1121|37 65|interferon gamma (IFN gamma)
P08637711A1121|37 82|interferon gamma (IFN gamma) response element
P08637711A1121|54 82|(IFN gamma) response element
P08637711A1121|90 115|IRF-1 promoter (IR/IRF-1)
P08637711A1121|90 95|IRF-1
P08637711A1121|106 114|IR/IRF-1
P08637711A1121|134 138|Stat
P08637711A1121|236 247|JRE-IL6-BCs
P08637717A0817|136 149|cyclin E/Cdk2
P08637717A1231|2 5|p21
P08637717A1231|120 135|recombinant p21
P08637717A1231|120 140|recombinant p21-PCNA
P08637717A1231|132 140|p21-PCNA
P08639561T0000|17 28|human N-ras
P08639561T0000|17 37|human N-ras codon 61
P08639561T0000|23 46|N-ras codon 61 sequence
P08639561T0000|23 28|N-ras
P08639561T0000|23 37|N-ras codon 61
P08639742T0000|86 106|zinc finger proteins
P08639837A0268|98 101|Ets
P08640866A0473|80 88|anti-CD3
P08641705A0986|140 150|Hbs Lepore
P08641705A0986|166 177|beta-globin
P08642282A1009|117 119|B7
P08642285A1548|0 8|DNA-STAT
P08642285A1548|4 8|STAT
P08642285A1548|40 47|Bcr/Abl
P08642313T0000|0 69|T cell leukemia-associated human Notch/translocation-associated Notch
P08642313T0000|0 38|T cell leukemia-associated human Notch
P08642313T0000|0 79|T cell leukemia-associated human Notch/translocation-associated Notch homologue
P08642313T0000|27 38|human Notch
P08642313T0000|27 79|human Notch/translocation-associated Notch homologue
P08642313T0000|33 79|Notch/translocation-associated Notch homologue
P08642313T0000|39 69|translocation-associated Notch
P08642313T0000|39 79|translocation-associated Notch homologue
P08642313T0000|64 79|Notch homologue
P08642313T0000|84 98|I kappa B-like
P08642313T0000|138 169|nuclear factor-kappa B proteins
P08642693T0000|63 65|3C
P08642693T0000|63 70|3C-like
P08643111A0855|4 24|humanized LL2 (hLL2)
P08643111A0855|14 24|LL2 (hLL2)
P08643111A0855|14 17|LL2
P08643111A0855|138 157|chimeric LL2 (cLL2)
P08643111A0855|147 157|LL2 (cLL2)
P08643111A0855|147 150|LL2
P08643513A0361|21 24|rOC
P08643513A0361|21 67|rOC promoter-chloramphenicol acetyltransferase
P08643513A0361|100 105|AML-1
P08643513A0361|205 216|osteocalcin
P08643557A0259|33 36|HOX
P08643578A0000|65 69|Ras2
P08643578A0000|126 164|transcriptional reporter FG(TyA)::lacZ
P08643578A0000|142 164|reporter FG(TyA)::lacZ
P08643578A0000|151 164|FG(TyA)::lacZ
P08643578A0000|151 158|FG(TyA)
P08643578A0000|189 223|mating pathway reporter FUS1::lacZ
P08643578A0000|204 223|reporter FUS1::lacZ
P08643578A0000|213 217|FUS1
P08643578A0000|213 223|FUS1::lacZ
P08643578A0532|14 38|Rho family protein Cdc42
P08643578A0532|14 32|Rho family protein
P08643578A0532|14 24|Rho family
P08643578A0532|14 17|Rho
P08643578A0532|25 38|protein Cdc42
P08643578A0532|33 38|Cdc42
P08643578A0532|66 75|G protein
P08643578A0532|130 143|FG(TyA)::lacZ
P08643682A0268|43 50|CBFbeta
P08643682A0268|59 79|CBFbeta-SMMHC fusion
P08643682A0268|59 72|CBFbeta-SMMHC
P08643682A0268|59 87|CBFbeta-SMMHC fusion protein
P08644734A0404|57 107|Drosophila dishevelled (dsh) segment-polarity gene
P08644734A0404|57 85|Drosophila dishevelled (dsh)
P08644734A0404|68 85|dishevelled (dsh)
P08644734A0404|68 79|dishevelled
P08644734A0404|68 107|dishevelled (dsh) segment-polarity gene
P08644734A0404|80 107|(dsh) segment-polarity gene
P08645214A1052|82 106|catalase-peroxidase gene
P08645214A1052|82 101|catalase-peroxidase
P08645214A1052|91 106|peroxidase gene
P08647086A0720|4 26|Cdk2-cyclin-D1 complex
P08647086A0720|4 18|Cdk2-cyclin-D1
P08647086A0720|80 82|H1
P08647086A0720|97 109|SV40 large T
P08647086A0720|102 117|large T antigen
P08647086A0720|102 109|large T
P08647086A0720|197 210|Cdk2-cyclin-E
P08647086A0720|215 228|Cdk2-cyclin-A
P08647086T0000|0 32|Cyclin-dependent kinase-2 (Cdk2)
P08647086T0000|136 149|Cdk7-cyclin-H
P08647091A0592|46 51|Adh-2
P08647091A0592|161 174|mammalian ADH
P08647091A0592|171 180|ADH genes
P08647091A0592|171 174|ADH
P08647264T0000|153 181|cysteine protease CPP32/Yama
P08647264T0000|153 176|cysteine protease CPP32
P08647264T0000|171 181|CPP32/Yama
P08647451A0663|46 53|HEP-COP
P08647802A0000|104 115|SH3-SH2-SH3
P08647822T0000|77 124|3-hydroxy-3-methylglutaryl coenzyme A reductase
P08647884A0547|62 73|MHC class I
P08648665A0956|10 13|LE6
P08648665A0956|10 13|LE6
P08648665A1320|4 6|E8
P08648665A1320|25 27|E6
P08649372A0501|0 10|Clb2/Cdc28
P08649372A0501|0 17|Clb2/Cdc28 kinase
P08649372A0501|5 17|Cdc28 kinase
P08649373T0000|85 96|human c-myc
P08649373T0000|91 101|c-myc gene
P08649373T0000|91 96|c-myc
P08649386A1032|96 100|Abf1
P08649389A0000|30 40|human CTCF
P08649389A0000|36 45|CTCF cDNA
P08649389A0000|36 40|CTCF
P08649389A0000|36 40|CTCF
P08649389A0692|27 43|P2-proximal CTCF
P08649389A0692|39 43|CTCF
P08649389A0692|39 56|CTCF binding site
P08649389A0692|39 43|CTCF
P08649389A0692|158 169|human c-myc
P08649389A0692|164 174|c-myc gene
P08649389A0692|164 169|c-myc
P08649393A0000|2 40|chromosome transmission fidelity (ctf)
P08649393A0000|2 47|chromosome transmission fidelity (ctf) mutant
P08649403A0963|23 46|reg1 reg2 double mutant
P08649403A0963|23 32|reg1 reg2
P08649403A0963|28 32|reg2
P08649403A0963|28 46|reg2 double mutant
P08649403A0963|99 103|SNF1
P08649405T0000|27 32|CD11c
P08649424A0000|18 43|phenylalanine hydroxylase
P08649425T0000|55 84|mouse immunoglobulin kappa 3'
P08649425T0000|55 81|mouse immunoglobulin kappa
P08649425T0000|61 81|immunoglobulin kappa
P08649425T0000|61 93|immunoglobulin kappa 3' enhancer
P08649425T0000|61 84|immunoglobulin kappa 3'
P08649427A0689|77 115|GTPase-activating protein (GAP) family
P08649427A0689|77 108|GTPase-activating protein (GAP)
P08649427A0689|77 136|GTPase-activating protein (GAP) family of GTPase regulators
P08649427A0689|103 115|(GAP) family
P08649427A0689|103 136|(GAP) family of GTPase regulators
P08649428A1227|78 83|c-mos
P08649428A1227|78 92|c-mos oncogene
P08649440T0000|28 38|IgG2--VIII
P08649841A0956|119 122|CAT
P08649841A0956|119 131|CAT reporter
P08649841A0956|119 122|CAT
P08649841A0956|119 122|CAT
P08654375A0544|149 171|DNA binding POU domain
P08654375A0544|149 164|DNA binding POU
P08654375A0544|161 164|POU
P08654390A0000|5 16|oxygenase 1
P08654435A0540|55 62|TCR/CD3
P08654946A0475|57 76|Xenopus laevis FGF3
P08654983A0000|17 69|signal recognition particle (SRP)-SRP receptor (Srb)
P08654983A0000|17 63|signal recognition particle (SRP)-SRP receptor
P08654983A0000|17 97|signal recognition particle (SRP)-SRP receptor (Srb) system in Bacillus subtilis
P08654983A0000|17 50|signal recognition particle (SRP)
P08654983A0000|17 69|signal recognition particle (SRP)-SRP receptor (Srb)
P08654983A0000|45 97|(SRP)-SRP receptor (Srb) system in Bacillus subtilis
P08654983A0000|45 63|(SRP)-SRP receptor
P08654983A0000|45 69|(SRP)-SRP receptor (Srb)
P08654983A0000|45 76|(SRP)-SRP receptor (Srb) system
P08654983A0000|45 102|(SRP)-SRP receptor (Srb) system in Bacillus subtilis (Bs)
P08654983A0000|51 69|SRP receptor (Srb)
P08654983A0000|64 97|(Srb) system in Bacillus subtilis
P08654983A0000|64 76|(Srb) system
P08654983A0000|64 102|(Srb) system in Bacillus subtilis (Bs)
P08654983A0000|118 124|Bs srb
P08654983A0000|121 124|srb
P08654983A0000|121 129|srb gene
P08654983A0000|164 186|mammalian SRP receptor
P08654983A0000|174 186|SRP receptor
P08654983A0000|174 200|SRP receptor alpha-subunit
P08654983A0000|174 192|SRP receptor alpha
P08656672A0678|12 15|ufo
P08657135A1444|101 110|E protein
P08657150A1049|82 86|SIN5
P08657157A0000|41 44|POU
P08657157A0000|41 69|POU domain DNA-binding motif
P08657157A0000|41 44|POU
P08660866A0504|38 41|Brd
P08660892A1044|73 76|SRF
P08660998A0851|4 10|mMIWC1
P08660998A0851|71 75|AP-2
P08660998A0851|171 177|mMIWC1
P08661007T0000|0 12|Human MN/CA9
P08661007T0000|6 17|MN/CA9 gene
P08661007T0000|6 12|MN/CA9
P08661007T0000|41 59|carbonic anhydrase
P08661100A0285|80 83|App
P08661101A0396|87 91|CRP1
P08661114A0564|59 68|human SIM
P08661114A0564|73 87|Drosophila SIM
P08661114A0564|73 96|Drosophila SIM proteins
P08661114A0564|84 96|SIM proteins
P08661116A0963|82 84|D3
P08661119A0085|21 44|human EP4 receptor gene
P08661119A0085|21 39|human EP4 receptor
P08661119A0085|27 53|EP4 receptor gene sequence
P08661119A0085|27 39|EP4 receptor
P08661119A0085|27 44|EP4 receptor gene
P08661119A0085|95 99|EP4R
P08662852A1297|34 38|GRK5
P08662852A1297|34 54|GRK5 phosphoacceptor
P08662928A1153|76 80|STAT
P08662928T0000|26 33|(IL)-10
P08662928T0000|38 42|IL-6
P08662928T0000|126 148|IL-6 response elements
P08662936A0428|26 31|FR-19
P08662936A0428|113 119|TEF-1A
P08662936A0428|113 118|TEF-1
P08662936A0428|144 182|embryonic TEA domain-containing factor
P08662936A0428|154 182|TEA domain-containing factor
P08663000A0000|4 58|receptor for hyaluronan mediated motility (RHAMM) gene
P08663000A0000|4 53|receptor for hyaluronan mediated motility (RHAMM)
P08663000A0000|46 58|(RHAMM) gene
P08663000A0000|47 52|RHAMM
P08663000A0000|119 163|transforming growth factor-beta1 (TGF-beta1)
P08663120T0000|10 15|Raf-1
P08663141T0000|135 161|human angiotensinogen gene
P08663141T0000|135 156|human angiotensinogen
P08663141T0000|141 156|angiotensinogen
P08663219A0246|20 29|rat PGS-2
P08663219A0246|24 29|PGS-2
P08663219A0246|24 34|PGS-2 gene
P08663219A0246|46 90|CAAT enhancer-binding protein consensus site
P08663219A0246|46 75|CAAT enhancer-binding protein
P08663219A0246|145 154|PGS-2.CAT
P08663219A0246|145 150|PGS-2
P08663219A0246|145 163|PGS-2.CAT reporter
P08663310A0157|106 134|immediate-early genes (IEGs)
P08663326A0000|10 32|sigma54-dependent DmpR
P08663326A0000|10 17|sigma54
P08663326A0000|28 32|DmpR
P08663326A0000|28 42|DmpR activator
P08663326A0000|74 77|dmp
P08663392A0215|34 44|human DSG3
P08663392A0215|40 49|DSG3 gene
P08663392A0215|40 44|DSG3
P08664347A0923|87 94|pro-LPH
P08665853A0228|74 78|ErbB
P08666241A0930|54 58|24p3
P08666398T0000|51 64|(CLN3) region
P08666404A0311|175 192|human PPP5C (PP5)
P08666404A0311|181 192|PPP5C (PP5)
P08666404A0311|222 225|PPT
P08668124A0744|4 10|Dox-A2
P08668124A0744|29 33|TDH3
P08668142A1048|84 109|membrane-associated Sec7p
P08668158A0765|77 87|tRNA met f
P08668158A0765|82 87|met f
P08668158A0765|141 151|tRNA met f
P08668158A0765|146 156|met f gene
P08668158A0765|146 151|met f
P08668158A0765|244 254|tRNA met f
P08668158A0765|249 254|met f
P08668158A0765|249 259|met f gene
P08668158A1252|26 37|mutant RPM1
P08668158A1252|33 37|RPM1
P08668158A1252|33 43|RPM1 genes
P08668158A1252|70 75|Rpm1r
P08668190A1364|32 36|hum1
P08668210A0000|72 114|Raf-1/MEK/mitogen-activated protein kinase
P08676454A0731|21 36|Pra (N0 and Nb)
P08676454A0731|41 58|ICP35 (ICP35 e,f)
P08676456A0879|2 19|chimeric VP16-Tat
P08676456A0879|2 29|chimeric VP16-Tat construct
P08676456A0879|11 19|VP16-Tat
P08676456A0879|11 29|VP16-Tat construct
P08676456A0879|11 15|VP16
P08676858A0309|42 49|S-RNase
P08676858A1084|38 48|T2/S-RNase
P08677678A0258|52 69|neurotropin (NSP)
P08682317A0900|52 84|HS transcription factor-1(HSF-1)
P08682868A0738|13 19|DSK2-1
P08682868A0738|63 83|Dsk2p ubiquitin-like
P08682868A0738|63 90|Dsk2p ubiquitin-like domain
P08682868A0738|69 83|ubiquitin-like
P08682868A0738|69 78|ubiquitin
P08683108A0965|49 53|CREB
P08683108A0965|58 89|activating transcription factor
P08683108A0965|109 127|junB CRE-like site
P08683108A0965|109 122|junB CRE-like
P08683983A1163|87 92|c-myb
P08686381A0527|87 142|Schizosaccharomyces pombe polyadenylate binding protein
P08686381A0527|198 211|BCR 5' region
P08686381A0527|217 254|transcription regulatory protein Swi3
P08686381A0527|242 254|protein Swi3
P08688556A0242|121 141|clathrin heavy chain
P08688556A0242|159 171|Chc - scd1-i
P08692924A0328|69 74|BCL-6
P08700531A1420|188 191|cph
P08700531A1420|188 191|cph
P08702543A0000|32 35|Ras
P08702543A0000|133 154|(IP4)-binding protein
P08702556A0000|54 83|phosphatidic acid phosphatase
P08702556A0000|54 89|phosphatidic acid phosphatase (PAP)
P08702633A0164|23 41|Gbetagamma subunit
P08702633A0164|96 107|Shc adapter
P08702633A0164|96 99|Shc
P08702633A0164|117 125|Shc*Grb2
P08702633A0164|117 133|Shc*Grb2 complex
P08702644A0499|42 55|apoB (apoB17)
P08702644A0499|114 145|decay-accelerating factor (DAF)
P08702728A1325|40 43|Shc
P08702728A1325|53 63|mutant Shc
P08702728A1325|60 63|Shc
P08702756A0000|4 20|small GTPase Rho
P08702756A0000|78 90|actin-myosin
P08702807A0964|90 94|MKK1
P08702807A0964|125 143|cyclin D1 promoter
P08702807A0964|125 134|cyclin D1
P08702807A0964|125 134|cyclin D1
P08702826A0870|39 53|GSTP1 silencer
P08702826A0870|39 44|GSTP1
P08702845A0000|94 126|human dopamine transporter (DAT)
P08702845A0000|100 120|dopamine transporter
P08702845A0000|100 126|dopamine transporter (DAT)
P08702845A0000|250 254|DATs
P08702936A0168|164 191|signal sequence-deleted CD4
P08702936A0168|188 196|CD4 cDNA
P08702936A0168|188 191|CD4
P08702936A0984|25 29|TARC
P08703005A0645|130 155|CCAAT box-binding protein
P08703010A0905|81 87|GAP-43
P08703010A0905|81 103|GAP-43 promoter region
P08703010A0905|81 96|GAP-43 promoter
P08703010A0905|81 87|GAP-43
P08703908A1814|129 133|StAR
P08704124A0420|63 78|cDNA (VrCDPK-1)
P08704124A0420|69 77|VrCDPK-1
P08706662A1125|140 186|killer-cell-specific trans-acting factor NF-P2
P08706731A1303|94 99|Ypr10
P08706731A1303|270 275|PR-10
P08707424A0709|18 26|ERV3 env
P08707424A0709|23 31|env mRNA
P08707424A0709|23 26|env
P08707825A0063|130 140|smoothelin
P08707825A0063|211 223|antibody R4A
P08707825A0063|220 223|R4A
P08707840A0753|52 59|p58/p45
P08707922A0334|38 79|rat II beta-, III beta, and O beta-globin
P08707922A0334|38 85|rat II beta-, III beta, and O beta-globin genes
P08707922A0334|42 85|II beta-, III beta, and O beta-globin genes
P08709224T0000|0 44|Epstein-Barr virus nuclear protein 2 (EBNA2)
P08709224T0000|73 86|human SNF-SWI
P08709224T0000|73 94|human SNF-SWI complex
P08709224T0000|73 82|human SNF
P08709224T0000|73 106|human SNF-SWI complex, hSNF5/Ini1
P08709224T0000|79 94|SNF-SWI complex
P08709224T0000|79 86|SNF-SWI
P08709224T0000|96 106|hSNF5/Ini1
P08709245A1521|155 159|HDAg
P08709245A1521|186 201|virus-like HDAg
P08709245A1521|197 210|HDAg particle
P08709245A1521|197 201|HDAg
P08709251A0000|160 192|DNA helicase gene of Bombyx mori
P08709251A0000|160 172|DNA helicase
P08709251A0000|160 177|DNA helicase gene
P08709637A1471|35 46|IL-7R alpha
P08710371A0000|109 120|protein p53
P08710371A0000|117 120|p53
P08710377A0577|38 41|SH3
P08710504A0995|59 63|cat1
P08719155A0105|204 251|thrombospondin-related anonymous protein (TRAP)
P08719155A0105|303 315|(CS) protein
P08721999A0432|86 89|U14
P08721999A0727|81 84|28S
P08722011A0103|30 36|GTPase
P08722011A0103|107 118|protein L11
P08722011A0103|107 123|protein L11-like
P08722011A0103|107 211|protein L11-like eukaryotic counterpart (Saccharomyces cerevisiae protein L15 and mammalian protein L12)
P08722011A0103|115 123|L11-like
